ID,nombre,Forma,Ubicación,tipos,Prioridad,Costo,Rango etario,Apertura,Barrio,Icono,tamañoIcono,Descripcion,Planes,iconoUnico
1,Teatro Colón,,"-34.601110580650506, -58.383384273770965","monumento, teatro",imperdible,medio,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Retiro,TeatroColon,140,"Considerado uno de los cinco mejores teatros líricos del mundo. Inaugurado en 1908, su acústica es legendaria. Ofrece visitas guiadas diarias para conocer su historia y arquitectura.","cultural,nocturno",TRUE
2,Puente De La Mujer,,"-34.607982373285544, -58.3651533279612",monumento,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Puerto Madero,PuenteDeLaMujer,140,"Puente peatonal giratorio diseñado por Santiago Calatrava, inaugurado en 2001. Su forma evoca a una pareja de tango. Es el símbolo más representativo de Puerto Madero.","cultural,romantico",TRUE
3,Floralis Genérica,,"-34.58167736824553, -58.393974910309346","monumento, parque",opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,FloralisGenerica,140,Escultura metálica de 23 metros de altura donada por el arquitecto Eduardo Catalano en 2002. Sus pétalos de acero y aluminio se cierran al atardecer y se abren al amanecer.,"cultural,ninos,picnic,romantico,trekking",TRUE
4,El Rosedal,,"-34.57050808289602, -58.41725669951367",parque,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Palermo,Parque,60,Jardín de rosas ubicado dentro del Parque Tres de Febrero en Palermo. Cuenta con más de 18.000 rosales de 1.000 variedades distintas. Ideal para pasear en primavera cuando florecen.,"ninos,picnic,romantico,trekking",FALSE
5,Cementerio de la Recoleta,,"-34.58736916789037, -58.39297116145574","historico, monumento",recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,CementerioDeLaRecoleta,140,"Uno de los cementerios más bellos del mundo, fundado en 1822. Aquí descansan los restos de Eva Perón y numerosas figuras históricas. Sus mausoleos son verdaderas obras de arte.","cultural,romantico",TRUE
6,Biblioteca Nacional,,"-34.58412613211424, -58.39802796212871",historico,imperdible,gratuito,"jóvenes, adultos, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado",Recoleta,BibliotecaNacional,140,La biblioteca más importante del país con más de 3 millones de volúmenes. Su edificio brutalista inaugurado en 1992 es imponente. Ofrece exposiciones temporarias y acceso gratuito.,cultural,TRUE
7,Caminito,,"-34.636338, -58.363478",historico,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",La Boca,Caminito,140,Calle museo a cielo abierto en el corazón de La Boca. Sus casas de chapa pintadas con colores vivos son el ícono más fotografiado de Buenos Aires. Artistas y milongueros animan el paseo.,"cultural,nocturno,tango",TRUE
8,Galerías Pacífico,,"-34.599254, -58.374768","shopping, monumento",imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,Shopping,60,Centro comercial en un edificio Monumento Histórico Nacional. Sus frescos en la cúpula central fueron pintados por grandes muralistas argentinos en 1946.,cultural,FALSE
9,Tranvía Histórico,,"-34.621041, -58.446068",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","sábado, domingo",Caballito,historico,40,Uno de los últimos tranvías en funcionamiento de América Latina. Opera los fines de semana por las calles de Caballito. Una experiencia única que transporta al Buenos Aires de principios del siglo XX.,cultural,FALSE
10,Parque de la Costa,,"-34.4184, -58.5746",Parque tematico,recomendado,medio,"jóvenes, adultos, niños","sábado, domingo",Tigre,Parque,40,"Parque de diversiones a orillas del río en Tigre. Ideal para familias con niños. Cuenta con montañas rusas, juegos acuáticos y espectáculos. A 40 minutos de Buenos Aires en tren.","ninos,picnic,trekking",FALSE
11,Casa Rosada,,"-34.608242, -58.370147",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,historico,40,Sede del Poder Ejecutivo de la Nación Argentina. Su fachada rosada frente a Plaza de Mayo es uno de los símbolos más reconocibles del país. Ofrece visitas guiadas los fines de semana.,cultural,FALSE
12,Plaza de Mayo,,"-34.608353, -58.372261",monumento,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,Parque,40,"Corazón histórico y político de Buenos Aires desde 1580. Rodeada por la Casa Rosada, el Cabildo y la Catedral Metropolitana. Escenario de los momentos más importantes de la historia argentina.","cultural,picnic,trekking",FALSE
13,Palacio Barolo,,"-34.609618, -58.385854",monumento,opcional,medio,"jóvenes, adultos","lunes, martes, miércoles, jueves, viernes, sábado",Congreso,Teatro,60,"Edificio art déco inaugurado en 1923, inspirado en la Divina Comedia de Dante. Con 100 metros de altura fue el más alto de Sudamérica. Los tours nocturnos al faro ofrecen vistas increíbles.","cultural,nocturno",FALSE
14,Cadore,,"-34.604089, -58.390627","gastronomico, heladería",recomendado,medio,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Centro,Helado,40,"Heladería artesanal fundada en 1957 en plena Avenida Corrientes. Famosa por su dulce de leche granizado, considerado por muchos el mejor helado de Buenos Aires. Un clásico imperdible.",nocturno,FALSE
15,El Cuartito,,"-34.597796, -58.385418",gastronomico,recomendado,medio,"jóvenes, adultos","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Centro,Almuerzo,40,Pizzería histórica fundada en 1934 en el centro porteño. Sus paredes tapizadas de fotos y recuerdos deportivos la convierten en un museo. La pizza al molde es legendaria en Buenos Aires.,nocturno,FALSE
16,Barrio Chino,,"-34.55699402347066, -58.45084195724978",gastronomico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Belgrano,Almuerzo,40,"Concentrado en unas pocas cuadras de Belgrano, es el barrio chino más importante de Argentina. Supermercados, restaurantes y tiendas de productos asiáticos en un ambiente vibrante.",nocturno,FALSE
17,Bioparque Temaiken,,"-34.386944, -58.698056",parque,recomendado,medio,"jóvenes, adultos, niños, adultos mayores","miércoles, jueves, viernes, sábado, domingo",Escobar,Parque,40,"Uno de los zoológicos más modernos de Latinoamérica, a 50 km de Buenos Aires. Alberga más de 3.000 animales en espacios que recrean sus hábitats naturales. Imperdible para familias.","ninos,picnic,trekking",FALSE
18,Facultad de Derecho,,"-34.58253824615508, -58.39195161195742",monumento,opcional,gratuito,"jóvenes, adultos, adultos mayores","lunes, martes, miércoles, jueves, viernes",Recoleta,monumento,30,Imponente edificio neoclásico de la UBA frente al Parque Las Heras. Su escalinata y columnas son un punto de encuentro estudiantil y cultural. Visitable en horario de cursada.,cultural,FALSE
19,Obelisco,,"-34.603579043731905, -58.38158523302297",monumento,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",San Nicolás,obelisco,100,"Ícono histórico de Buenos Aires construido en 1936 para conmemorar el cuarto centenario de la fundación de la ciudad. Ubicado en la Plaza de la República, en la intersección de las avenidas Corrientes y 9 de Julio.","cultural,nocturno",TRUE
20,Cabildo de Buenos Aires,,"-34.60854864396135, -58.373817289619986",historico,imperdible,medio,"jóvenes, adultos, niños, adultos mayores","martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,historico,60,"Edificio colonial del siglo XVII, símbolo de la Revolución de Mayo de 1810. Alberga el Museo Nacional del Cabildo con piezas históricas de la época colonial e independentista.",cultural,FALSE
21,Catedral Metropolitana,,"-34.60734861040839, -58.37323594544266",historico,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,historico,60,Sede arzobispal de Buenos Aires. Alberga el mausoleo del General San Martín. Su fachada neoclásica de doce columnas data del siglo XIX y es una de las más imponentes de la ciudad.,cultural,FALSE
22,Congreso Nacional,,"-34.609735, -58.391987",historico,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes",Congreso,historico,60,Sede del Poder Legislativo argentino inaugurada en 1906. Su cúpula de bronce y la plaza frente a ella son íconos de la ciudad. Las visitas guiadas permiten recorrer sus salones históricos.,cultural,FALSE
23,Palacio San Martín,,"-34.594875, -58.375432",historico,recomendado,gratuito,"jóvenes, adultos","lunes, martes, miércoles, jueves, viernes",Retiro,historico,40,"Antigua mansión de la familia Anchorena, hoy sede de la Cancillería argentina. Construida entre 1905 y 1909 en estilo Luis XV y XVI. Visitas guiadas gratuitas los viernes.",cultural,FALSE
24,Palacio Paz,,"-34.5957087685302, -58.377664644553406",historico,recomendado,medio,"jóvenes, adultos","lunes, martes, miércoles, jueves, viernes, sábado",Retiro,historico,40,"El edificio privado más grande de Argentina, construido entre 1902 y 1914 para la familia Paz. Inspirado en Versalles y el Louvre. Hoy sede del Círculo Militar, con visitas guiadas.",cultural,FALSE
25,Edificio Kavanagh,,"-34.595309700823165, -58.37454010126546",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Retiro,historico,40,"Rascacielos art déco inaugurado en 1936, fue el edificio de hormigón más alto de Sudamérica en su momento. Declarado Monumento Histórico Nacional, emblema de la arquitectura moderna porteña.",cultural,FALSE
26,Torre Monumental,,"-34.59208575526423, -58.373683201265656",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","martes, miércoles, jueves, viernes, sábado, domingo",Retiro,historico,40,"Torre de estilo inglés inaugurada en 1916, donada por la comunidad británica. Desde su mirador se obtiene una de las mejores vistas del Río de la Plata y el barrio de Retiro.",cultural,FALSE
28,Casa de la Cultura,,"-34.60819703516794, -58.374443197729946",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,historico,40,"Ex sede del diario La Prensa, construida en 1898 en estilo Luis XV. Hoy centro cultural del Gobierno de la Ciudad. Sus salones dorados y la gran lámpara central son de una belleza excepcional.",cultural,FALSE
29,Manzana de las Luces,,"-34.61045292008628, -58.374837779530644",historico,recomendado,medio,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Montserrat,historico,40,"Complejo histórico del siglo XVII, centro intelectual del Buenos Aires colonial. Incluye la Iglesia de San Ignacio y túneles subterráneos del período jesuítico. Visitas guiadas disponibles.",cultural,FALSE
30,Iglesia de San Ignacio,,"-34.610370147045515, -58.373619847782976",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Montserrat,historico,40,"La iglesia más antigua de Buenos Aires, construida por los jesuitas en 1675. Su fachada barroca colonial es la más antigua de la ciudad. Alberga valiosas obras de arte sacro.",cultural,FALSE
31,Mercado de Abasto,,"-34.603456, -58.409876","historico, shopping",recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Balvanera,Shopping,40,"Ex mercado central construido en 1893, renovado en 1999. Su imponente estructura art déco alberga hoy un shopping. Barrio natal de Carlos Gardel.",cultural,FALSE
32,Usina del Arte,,"-34.636789, -58.360123",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","martes, miércoles, jueves, viernes, sábado, domingo",La Boca,historico,40,Ex usina eléctrica de 1916 reconvertida en centro cultural. Su arquitectura industrial de ladrillo rojo es imponente. Ofrece conciertos y exposiciones de forma gratuita.,cultural,FALSE
33,Teatro Nacional Cervantes,,"-34.598807132003614, -58.383870633899896",historico,recomendado,medio,"jóvenes, adultos, adultos mayores","martes, miércoles, jueves, viernes, sábado, domingo",Retiro,Teatro,40,Teatro oficial de la República Argentina inaugurado en 1921. Su estilo plateresco español y sus interiores decorados con materiales traídos de España lo convierten en un palacio cultural.,"cultural,nocturno",FALSE
34,Museo Nacional de Bellas Artes,,"-34.5838214761306, -58.39307952225853",historico,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,historico,60,"La colección de arte más importante de Latinoamérica con más de 12.000 obras. El edificio data de 1932. Pinturas, esculturas y grabados de maestros argentinos e internacionales.",cultural,FALSE
35,Casa Mínima de San Telmo,,"-34.621234, -58.370543",historico,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",San Telmo,historico,30,"La casa más angosta de Buenos Aires con apenas 2,40 metros de frente. Construida en el siglo XIX por un esclavo liberado en el pasaje que le fue cedido como pago de su libertad.","cultural,tango",FALSE
36,Parque Mujeres Argentinas,,"-34.6094, -58.3611",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Puerto Madero,Parque,50,"Amplio parque central en Puerto Madero con lomadas, senderos curvos y una gran plaza central. Ofrece excelentes vistas panorámicas de los rascacielos del barrio","ninos,picnic,trekking",FALSE
37,Jardín Japonés,,"-34.574547099438824, -58.409846201182575",parque,imperdible,medio,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Palermo,Parque,60,"El jardín japonés más grande fuera de Japón, inaugurado en 1967. Koi gigantes, puentes rojos, pagodas y una teahouse auténtica. Un remanso de paz en el corazón de Palermo.","ninos,picnic,romantico,trekking",FALSE
38,Planetario Galileo Galilei,,"-34.569391416465784, -58.411595802190824",parque,recomendado,medio,"jóvenes, adultos, niños, adultos mayores","miércoles, jueves, viernes, sábado, domingo",Palermo,Parque,40,Icónico edificio en forma de nave espacial inaugurado en 1966 dentro del Parque Tres de Febrero. Ofrece funciones de astronomía y exposiciones sobre el espacio. Un clásico porteño.,"ninos,picnic,trekking",FALSE
39,Reserva Ecológica Costanera Sur,,"-34.606572894057514, -58.35174144369479",parque,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","martes, miércoles, jueves, viernes, sábado, domingo",Puerto Madero,Parque,60,"350 hectáreas de naturaleza salvaje a metros del centro porteño. Más de 350 especies de aves la convierten en un paraíso para el avistamiento. Lagunas, humedales y senderos naturales.","ninos,picnic,romantico,trekking",FALSE
40,Parque Lezama,,"-34.624321, -58.369876",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",San Telmo,Parque,40,"Uno de los parques más antiguos de Buenos Aires, fundado en 1858. Según la tradición, aquí desembarcó Pedro de Mendoza en 1536. Su glorieta, estatuas y el Museo Histórico Nacional lo rodean.","ninos,picnic,romantico,tango,trekking",FALSE
41,Parque Centenario,,"-34.606543, -58.432109",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Caballito,Parque,40,"Gran parque circular de 11 hectáreas en el corazón geográfico de Buenos Aires. Feria de libros usados los fines de semana, lago con patos y el Museo de Ciencias Naturales Bernardino Rivadavia.","ninos,picnic,trekking",FALSE
42,Parque Rivadavia,,"-34.622109, -58.432876",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Caballito,Parque,40,"Querido parque de Caballito con una de las ferias de discos y libros más tradicionales de la ciudad los domingos. Juegos para niños, pista de patinaje y una laguna con cisnes.","ninos,picnic,trekking",FALSE
43,Parque Avellaneda,,"-34.6521, -58.4877",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Flores,Parque,40,"Extenso parque de 35 hectáreas en el oeste porteño con una casona histórica del siglo XVIII. Bosques, lago, pistas de atletismo y el Centro Cultural Chacra de los Remedios en su interior.","ninos,picnic,trekking",FALSE
44,Parque Saavedra,,"-34.550615732737796, -58.479826331951045",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Saavedra,Parque,40,Amplio parque del norte porteño con un lago y frondosos árboles. Muy frecuentado por familias del barrio. Cerca del Museo Histórico de Saavedra y la Quinta Trabucco.,"ninos,picnic,trekking",FALSE
45,Parque Chacabuco,,"-34.637891, -58.444321",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Parque Chacabuco,Parque,40,"Gran parque de 25 hectáreas con canchas de fútbol, pistas de skate y el famoso Velódromo Municipal. Uno de los pulmones verdes del sur porteño, muy activo deportiva y culturalmente.","ninos,picnic,trekking",FALSE
46,Parque Patricios,,"-34.638543, -58.403210",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Parque Patricios,Parque,30,"Parque histórico del barrio homónimo con arboleda centenaria. Punto de encuentro del barrio de Parque Patricios, cerca del Estadio Tomás Adolfo Ducó del Club Atlético Huracán.","ninos,picnic,trekking",FALSE
47,Parque Micaela Bastidas,,"-34.61544229458867, -58.36024987131982",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Puerto madero,Parque,30,"Innovador espacio verde diseñado con terraplenes, gaviones de piedra, rosaledas y áreas temáticas. Sus caminos en diferentes niveles lo hacen único en la ciudad","ninos,picnic,trekking",FALSE
48,,,"-34.55978104848491, -58.40795877427994",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Núñez,Parque,40,"Paseo costero sobre el Río de la Plata en el norte de la ciudad. Ideal para correr, andar en bici o simplemente disfrutar del río. Balnearios municipales abiertos en verano.","ninos,picnic,trekking",FALSE
49,Parque de los Niños,,"-34.52784487386267, -58.458642579942904",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Núñez,Parque,40,"Amplio parque costero del norte porteño con juegos para niños, skatepark y vistas al río. Muy concurrido los fines de semana por familias. Ideal para actividades al aire libre.","ninos,picnic,trekking",FALSE
50,Plaza Francia,,"-34.584618515815166, -58.39312235893693",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,Parque,40,"Elegante plaza frente al MNBA con una feria de artesanías y diseño los fines de semana. Sus esculturas, fuentes y el entorno del Museo Nacional de Bellas Artes la hacen muy pintoresca.","ninos,picnic,romantico,trekking",FALSE
51,Parque Las Heras,,"-34.58377458007872, -58.40882555597918",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,Parque,30,Tranquilo parque en Recoleta sobre el predio de la ex Penitenciaría Nacional demolida en 1962. Rodeado de arboleda centenaria y la imponente Facultad de Derecho de la UBA.,"ninos,picnic,trekking",FALSE
52,Jardín Botánico Carlos Thays,,"-34.5827681076946, -58.41898792930541",parque,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Palermo,Parque,60,"Jardín histórico de 7 hectáreas diseñado por Carlos Thays en 1898. Más de 5.500 especies vegetales, invernaderos de hierro y cristal de estilo victoriano y una colonia de gatos célebres.","ninos,picnic,romantico,trekking",FALSE
53,Parque Indoamericano,,"-34.6943, -58.4699",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Villa Lugano,Parque,30,"El parque más grande de Buenos Aires con más de 130 hectáreas en el sur de la ciudad. Canchas, pistas y amplios espacios verdes. Actualmente en proceso de renovación y mejoras.","ninos,picnic,trekking",FALSE
56,Plazoleta del Lector,,"-34.585418303245554, -58.39907372615344",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",San Telmo,Parque,50,"Pequeño espacio verde en San Telmo que homenajea a los lectores y la literatura. Con bancos temáticos y árboles frondosos, es un rincón tranquilo para descansar en el barrio más bohemio de la ciudad.","ninos,picnic,tango,trekking",FALSE
57,Parque Sarmiento,,"-34.55393801319046, -58.49804096263491",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Saavedra,Parque,40,"Parque arbolado del noroeste porteño con canchas deportivas, juegos infantiles y amplios espacios verdes. Muy querido por los vecinos de Villa del Parque y Villa Devoto para hacer deporte y descansar.","ninos,picnic,trekking",FALSE
58,Parque General Paz,,"-34.56587781949192, -58.505692583249136",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Saavedra,Parque,40,"Gran parque en el límite oeste de la ciudad junto a la autopista General Paz. Amplios espacios verdes, canchas y pistas de atletismo. Punto de encuentro para los vecinos del oeste porteño.","ninos,picnic,trekking",FALSE
59,Parque Chacarita,,"-34.587654, -58.454321",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Chacarita,Parque,50,"Parque de barrio en Chacarita con buenos espacios verdes y juegos. Ideal para familias del barrio, con ambiente tranquilo y arbolado. Complementa la visita al famoso cementerio de la Chacarita cercano.","ninos,picnic,trekking",FALSE
60,Parque Prefectura,,"-34.6030, -58.3660",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Puerto Madero,Parque,50,"Espacio verde del barrio de Saavedra con cancha de fútbol, mesas de ajedrez y espacios para picnic. Un rincón tranquilo y familiar en el extremo norte de la ciudad.","ninos,picnic,trekking",FALSE
61,Plaza Vicente López y Planes,,"-34.59319817195757, -58.38909998867518",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,Parque,40,"tradicional plaza del barrio de Recoleta. Se caracteriza por su diseño paisajístico, su entorno residencial de arquitectura clásica y su frondosa arboleda, donde destaca un inmenso gomero centenario en el centro. Cuenta con juegos infantiles y espacios de descanso.","ninos,picnic,trekking",FALSE
62,Parque Pereyra Iraola,,"-34.8430, -58.1560",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Berazategui,Parque,40,"Reserva de biosfera de 10.000 hectáreas entre La Plata y Buenos Aires. Bosques nativos, fauna silvestre y el histórico casco de la estancia Iraola. El gran pulmón verde del conurbano sur.","ninos,picnic,trekking",FALSE
63,Parque Almirante Brown,,"-34.6730, -58.4510",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Villa Soldati,Parque,50,Parque de barrio en el sur de la ciudad con espacios deportivos y áreas verdes. Frecuentado por vecinos de Parque Chacabuco y Boedo para actividad física y esparcimiento familiar.,"ninos,picnic,trekking",FALSE
64,Parque Micaela Bastidas,,"-34.6166, -58.3582",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Puerto Madero,Parque,50,Parque verde en el barrio de Nueva Pompeya con juegos infantiles y canchas. Un espacio de recreación para los vecinos del sur porteño en pleno proceso de mejora urbana.,"ninos,picnic,trekking",FALSE
65,Parque Roca,,"-34.690123, -58.447654",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Villa Riachuelo,Parque,50,"Parque de grandes dimensiones en el extremo sur de la ciudad con autódromo, pista de karting y amplios espacios verdes. Ideal para actividades deportivas y eventos al aire libre.","ninos,picnic,trekking",FALSE
66,Eco Parque Buenos Aires,,"-34.580293196123776, -58.4194756777502",parque,imperdible,medio,"jóvenes, adultos, niños, adultos mayores","miércoles, jueves, viernes, sábado, domingo",Palermo,Parque,60,El ex Zoológico de Buenos Aires reconvertido en un espacio de conservación ambiental. Sus edificios de arquitectura ecléctica del 1900 son monumentos históricos. Animales en semilibertad y actividades educativas.,"ninos,picnic,trekking",FALSE
67,Parque de la Ciudad,,"-34.668432, -58.465432",parque,opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Villa Soldati,Parque,50,"Gran espacio verde en Villa Soldati donde funcionó el antiguo Parque de Diversiones. Hoy con pistas de atletismo, canchas y el Velódromo Municipal. Un pulmón verde importante para el sur de la ciudad.","ninos,picnic,trekking",FALSE
68,Plazoleta Cortázar,,"-34.587123, -58.432654",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Palermo,Parque,40,"La famosa Plaza Serrano, epicentro del barrio de Palermo Soho. Rodeada de bares, restaurantes y tiendas de diseño. Los fines de semana alberga una feria de artesanías y diseño independiente muy popular.","ninos,picnic,trekking",FALSE
69,Plaza Arenales,,"-34.597432, -58.507654",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Villa Devoto,Parque,40,"Plaza central del barrio de Villa Devoto, una de las más queridas del noroeste porteño. Con árboles centenarios, fuente central y bancos de estilo clásico. Los domingos se llena de vecinos y familias.","ninos,picnic,trekking",FALSE
70,Plaza Barrancas de Belgrano,,"-34.55967979043555, -58.449855847292646",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Belgrano,Parque,40,"Una de las plazas más bellas y características de Buenos Aires, con su diseño en terrazas escalonadas sobre una barranca natural. Sus glorietas, fuentes y frondosos árboles la convierten en un oasis en el corazón de Belgrano.","ninos,picnic,romantico,trekking",FALSE
71,Parque de la Memoria,,"-34.54251408338421, -58.43607709496421",parque,recomendado,gratuito,"jóvenes, adultos, adultos mayores","martes, miércoles, jueves, viernes, sábado, domingo",Núñez,Parque,40,"Parque-monumento a orillas del Río de la Plata dedicado a las víctimas del terrorismo de Estado. El muro con los nombres de los 30.000 desaparecidos y las esculturas de artistas internacionales lo convierten en un sitio de memoria, arte y reflexión imprescindible.","cultural,trekking",FALSE
72,Lago de Regatas,,"-34.55708125967688, -58.434167406897735",parque,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Núñez,Parque,40,"Espejo de agua artificial construido en 1904 para competencias de remo en la Costanera Norte. Rodeado de arboleda centenaria, es ideal para pasear en bici, correr o simplemente disfrutar del paisaje junto al río. Un rincón tranquilo y poco conocido del norte porteño.","ninos,picnic,romantico,trekking",FALSE
73,Cementerio de la Chacarita,,"-34.5875949168591, -58.456338001543244",historico,recomendado,gratuito,"jóvenes, adultos, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Chacarita,historico,40,"El cementerio más grande de América del Sur, fundado en 1871. Aquí descansan Carlos Gardel, Juan Domingo Perón y Alfonsina Storni entre otras figuras históricas. Sus mausoleos y esculturas lo convierten en un museo al aire libre.",cultural,FALSE